appId,title,bucket,score,ratings,reviews,installs,genre
appinventor.ai_kleber_paduano.KWK3D,PRECIFICAÇÃO IMPRESSÃO 3D,pricing,4.69,31,23,1.000+,Ferramentas
mx.com.occ,OCC: Tu próximo trabajo aquí,outro,4.52,439042,23,5.000.000+,Negócios
in.redbus.android,"redBus Book Bus, Train Tickets",outro,4.59,4497950,22,100.000.000+,Viagem e Turismo
com.n2receipt_invoice,"Receipts, Quotations & Invoice",invoice,3.98,2660,20,"100,000+",Business
com.wow.invoice,Invoice Maker & Estimate Maker,invoice,4.64,3002,20,"100,000+",Business
com.yibsonalexis.prestapp,CobrApp: Gestão de Carteira,outro,4.4,1297,20,100.000+,Finanças
com.cars24.seller,Cars24®: Buy & Sell Used Cars,outro,3.98,333164,19,"10,000,000+",Auto & Vehicles
com.freelance.calculator.self.employment,Self-Employment Tax Calculator,tax_mei,4.14,52,16,"10,000+",Productivity
com.jobandtalent.android,"Job&Talent. Work, made easy.",outro,4.24,100908,15,5.000.000+,Negócios
com.fastwork.app,Fastwork - Hire Freelancers,freelance,3.75,9327,13,"1,000,000+",Business
com.meilan.app,Mei-lan,tax_mei,4.2,56,13,"10,000+",Music & Audio
com.prodifab.prodihours,Prodi Hours: Work Time Tracker,time,4.59,272,12,"10,000+",Productivity
com.txintxe.calculadoradetiempo,Hours Calculator,time,3.58,308,12,"100,000+",Productivity
com.github.imfranq.cost_calculator,Cost Calculator,outro,3.36,144,11,"10,000+",Tools
com.cribasoft.HoursTrackerFree.Android,Hours Tracker Time Tracking,time,3.79,6385,10,1.000.000+,Negócios
com.magnus.pricer,Precificador - Preço de Venda,pricing,4.57,75,10,10.000+,Produtividade
com.zapptax.zapptax,Zapptax - Shop Tax-Free,tax_mei,3.33,266,10,"50,000+",Travel & Local
sun.way2sms.hyd.com,Way2News Daily News App,outro,4.43,1198206,10,50.000.000+,Notícias e revistas
com.paycheck.calculator,Paycheck Calculator,outro,2.56,20,9,"1,000+",Business
com.xamapps.worklog,"Hours Tracker, Time Calculator",time,4.56,143,9,"10,000+",Business
com.bfreetaxback.smarttax,smartTax: Tax Free b.free!,tax_mei,1,99,8,10.000+,Produtividade
com.stel.order,Invoices and quotes | STEL,invoice,4.17,1076,8,"100,000+",Business
com.terawork.mobile,TERAWORK: Hire Freelancers,freelance,3.33,147,8,"50,000+",Business
com.vanyapps.hoursminutescalculator,Hours & Minutes Calculator,time,4.64,289,8,"10,000+",Tools
com.zenbyte.foodcostcalculator,Food Cost Calculator,outro,4.56,30,8,"10,000+",Productivity
ru.kwork.app,Kwork,outro,3.8,18814,8,1.000.000+,Negócios
ai.magnifex.prepai,Sprout - AI Job Search,outro,4.48,99566,7,100.000+,Negócios
com.lytex.pagamentos,LyTex Pagamentos,outro,3.5,14,7,1.000+,Finanças
com.receiptmaker.generator,Receipt Maker - Generate Bills,outro,4.63,401,7,"10,000+",Business
com.shiftsmart.workerapp,Shiftsmart - Find Work,outro,3.5,49939,7,1.000.000+,Negócios
works.temper.temperAndroid,Temper | Flex Work & Gig Jobs,freelance,3.07,1470,7,"100,000+",Business
com.busitransporte.passengers,Busi Boletos,invoice,4.56,678,6,100.000+,Viagem e Turismo
com.mpapps.invoices,Gerador Faturas e Orçamentos,invoice,4.46,5270,6,100.000+,Negócios
com.ticketmaster.mobile.android.na,"Ticketmaster－Buy, Sell Tickets",outro,3.67,200614,6,50.000.000+,Eventos
com.zetech.turecibo.v2,Tu Recibo,invoice,2.64,1438,6,1.000.000+,Produtividade
finance.pagcrypto.app,"PagFinance:PIX, Boleto, Cripto",invoice,2.83,6,6,1.000+,Finanças
invoice.invoicemaker.simple,Invoice Maker - Simple Invoice,invoice,4.75,5342,6,500.000+,Negócios
net.chriskreymborg.golden_hour_calculator,Golden Hour Calculator,outro,4,86,6,"5,000+",Photography
app.invoice_maker,Freebie Invoice Maker Simple,invoice,4.64,18472,5,500.000+,Finanças
cloudtax.org.com.ctweb,CloudTax - Simple Tax Software,tax_mei,4,233,5,"10,000+",Finance
com.boletia.app,Boletia: Boletos para eventos,invoice,3.59,2981,5,"100,000+",Entertainment
com.diordi.calctarifahoras,Time rate calculator,pricing,4.75,175,5,"10,000+",Finance
com.zervant.invoicing,Shine Invoicing & Bookkeeping,outro,4.33,4970,5,"100,000+",Business
br.com.boleto_plus_mobile_app,Boleto+,invoice,4.2,10,4,1.000+,Ferramentas
br.com.center.interseptcenter,Intersept Autônomo,freelance,3.33,6,4,1.000+,Comunicação
com.bixpe.chronos,Controle de tempo,outro,4.11,2186,4,500.000+,Produtividade
com.mei,Mei: Mensagens Texto SMS + AI,tax_mei,3.78,16360,4,500.000+,Comunicação
com.ustaxapp.app,TaxApp - Ai Tax Assistant,tax_mei,3.75,10,4,"1,000+",Finance
es.aeat.dgc.mobile,Agencia Tributaria,outro,3.75,17064,4,5.000.000+,Produtividade
in.android.vyapar,Vyapar Invoice GST Billing App,invoice,4.75,187239,4,10.000.000+,Negócios
calculatorsoup.HoursCalculator,Hours Calculator: Time Tracker,time,4.92,12,3,"1,000+",Tools
com.invoicemaker.tech.invoice_maker,"Invotap: Invoice Maker, Quote",invoice,4.63,130,3,"1,000+",Business
com.lhdn.mytax,MyTax,tax_mei,2,2421,3,"1,000,000+",Finance
com.mlogg,BossTax: Self-Employed Taxes,tax_mei,4.43,14,3,"1,000+",Finance
com.puneetkushwah.sellcalculator,Sell Price & Profit Calculator,outro,2.29,25,3,"10,000+",Business
com.r3r.faturadigital,Fatura Digital,invoice,3.75,12,3,5.000+,Ferramentas
com.refrens.RefrensApp,"Invoice Maker, Billing:Refrens",invoice,4.52,3117,3,"100,000+",Business
com.tofu.invoices,"Faturas, Recibos e Estimativa",invoice,4,4384,3,1.000.000+,Negócios
com.usecobra.cobra,COBRA,outro,4.14,7,3,"1,000+",Productivity
gti.facturaelectronica.movil,GTI Factura Electrónica,invoice,3.25,445,3,"100,000+",Finance
invoice.quote.generator,Gerar Faturas e Orçamentos,invoice,3.33,430,3,5.000+,Negócios
partl.grandtotal,SubTotal: Fatura e Orçamento,invoice,5,167,3,10.000+,Negócios
uk.gov.hmrc.ptcalc,HMRC,outro,4.74,82873,3,5.000.000+,Finanças
com.darkzera.quantosdias,Quantos Dias - Contadores,outro,4.43,7,2,100+,Produtividade
com.mobiledatalabs.mileiq,Mileage Tracker & Log - MileIQ,outro,4.5,71937,2,1.000.000+,Finanças
com.sgallego.timecontrol,Controle de horas,time,3.75,4044,2,100.000+,Produtividade
com.solid.invoice,Criador de Boletos e Faturas,invoice,3.89,2095,2,100.000+,Negócios
com.themark.apps.salarysheet,Shift Work Calendar Timesheet,time,5,882,2,"10,000+",Tools
fr.acoss.amme,AutoEntrepreneur Urssaf,outro,3.22,3852,2,"1,000,000+",Finance
uk.taxpie,#Pie Tax: Self Assessment app,tax_mei,3.8,183,2,"10,000+",Finance
air.com.intemodino.compareprices,Calcular preços unitários,outro,4.2,58,1,10.000+,Compras
app.tmbeducacao.com.br,TMB - Tem Mais No Boleto,invoice,4.33,7,1,1.000+,Finanças
com.feedcoyote.app,Feedcoyote - Freelance Jobs,freelance,4.58,1157,1,100.000+,Social
com.gnivts.selfemployed,Мой Налог,outro,4.86,198052,1,10.000.000+,Produtividade
com.intuit.turbotax.mobile,TurboTax: File Your Tax Return,tax_mei,5,322112,1,10.000.000+,Finanças
de.devnova.imposter,Impostor,tax_mei,4.68,8270,1,100.000+,Palavras
com.pepivsky.debtorsapp,Deudores y Cobranza,outro,4.55,1781,0,10.000+,Finanças
com.time.sheet,TimeSheet,time,4.17,25,0,"5,000+",Business
